experiment,feature_number,network,libraryID,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource,GnpsJobID
dataset1,7338,42,"9-Oxo-10E,12Z-octadecadienoic acid",Lineolic acids and derivatives,1.1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7347,-1,Spectral Match to Leu-Val from NIST14,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7383,74,L-DOPA methyl ester,Organoheterocyclic compounds,0.7142857142857143,superclass,7,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7387,-1,1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),Glycerophosphoglycerols,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7412,-1,"4-Acetoxy-N,N-diisopropyltryptamine",Tryptamines and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7470,74,METHYL INDOLE-3-ACETATE - 40.0 eV,Organoheterocyclic compounds,0.7142857142857143,superclass,7,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7547,1963,"13,14-Dihydro-15-ketoprostaglandin D1",Eicosanoids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7619,208,Massbank:RP025502 Hexanoyl-L-Carnitine|L-Hexanoylcarnitine|(3R)-3-hexanoyloxy-4-(trimethylazaniumyl)butanoate,Fatty acid esters,1,subclass,10,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7632,-1,"L-Arginine, methyl ester","Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7641,1963,9-Oxo-11-(3-pentyl-2-oxiranyl)-10E-undecenoic acid,Eicosanoids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7646,-1,Bufalin,Steroid lactones,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7665,641,1-(4-Methoxyphenyl)-2-propanone,Phenylpropanes,1,subclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7673,-1,Orcinol .beta.-D-glucoside,Carbohydrates and carbohydrate conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7698,-1,"(2R,3S,4S,5R,6R)-2-[[(2R,3R,4R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-[4-(4-hydroxyphenyl)butan-2-yloxy]oxane-3,4,5-triol",Fatty acyl glycosides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7712,4818,Warfarin,Hydroxycoumarins,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7723,1913,"L-Arginine, N2-[2-(2,2-diphenylethoxy)acetyl]-",Diphenylmethanes,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7735,641,1-(4-Methoxyphenyl)-2-propanone,Phenylpropanes,1,subclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7802,-1,Conessine,Steroidal alkaloids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7807,-1,"2,4,6-Tri-tert-butylaniline",Phenylpropanes,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7822,-1,"Massbank:LU022903 C.I. Basic Red 9|4-[(4-aminophenyl)-(4-iminocyclohexa-2,5-dien-1-ylidene)methyl]aniline",Diphenylmethanes,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7849,1584,Hexadecanedioic acid,Lipids and lipid-like molecules,1,superclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7875,-1,Lauric acid diethanolamide,Fatty amides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7881,4322,all-trans-4-Ketoretinoic acid,Retinoids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7943,-1,"Ethanone, 1-[2-hydroxy-3-propyl-4-[4-(2H-tetrazol-5-yl)butoxy]phenyl]-",Carbonyl compounds,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7958,74,3-Fluoro-4-morpholinoaniline,Organoheterocyclic compounds,0.7142857142857143,superclass,7,Library,16616afa8edd490ea7e50cc316a20222
dataset1,7992,-1,4-Hydroperoxy-2-nonenal,Carbonyl compounds,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8067,241,"Methanone, [1-(4-penten-1-yl)-1H-indol-3-yl](2,2,3,3-tetramethylcyclopropyl)-",N-alkylindoles,0.875,subclass,8,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8095,653,Exemestane,Lipids and lipid-like molecules,1,superclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8108,3142,15-Ketoprostaglandin E1,Eicosanoids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8147,730,all-trans-4-Hydroxyretinoic acid,Lipids and lipid-like molecules,1,superclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8203,5710,"Nonanamide, N-[(4-hydroxy-2-iodo-5-methoxyphenyl)methyl]-8-methyl-",Methoxyphenols,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8213,-1,Fumagillin,Fatty acids and conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8215,1386,"NCGC00380576-01_C22H32O5_2-Pentenoic acid, 3-[(acetyloxy)methyl]-5-[(1S,4aR,8aR)-2-formyl-1,4,4a,5,6,7,8,8a-octahydro-5,5,8a-trimethyl-1-naphthalenyl]-, (2E)-",Diterpenoids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8261,-1,DL-o-Tyrosine,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8310,-1,"11.beta.,21-Dihydroxy-5.beta.-pregnane-3,20-dione",Hydroxysteroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8311,2187,"Acetic acid, 2-[4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy]-",Carbonyl compounds,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8315,-1,(+)-Aphidicolin,Diterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8319,-1,Baccatin III,Diterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8323,442,all-trans-4-Hydroxyretinoic acid,Prenol lipids,1.1,class,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8325,5233,11-Dehydrocorticosterone,Lipids and lipid-like molecules,1.1,superclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8337,-1,Eicosapentaenoic acid methyl ester,Fatty acid esters,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8340,-1,Oxandrolone,Steroid lactones,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8355,-1,"11,14,17-Eicosatrienoic acid, (Z,Z,Z)-",Fatty acids and conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8397,1663,Costunolide,Lipids and lipid-like molecules,0.75,superclass,8,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8399,128,(Z)-6-Octadecenoic acid,Fatty acids and conjugates,0.75,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8403,1573,trans-Traumatic acid,Lipids and lipid-like molecules,0.6666666666666666,superclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8418,442,Steviol,Prenol lipids,1.1,class,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8435,2502,Leu-Phe,"Amino acids, peptides, and analogues",1.1,subclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8439,-1,"5.alpha.-Pregnane-3.alpha.,11.beta.,21-triol-20-one",Hydroxysteroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8475,442,Steviol,Prenol lipids,1.1,class,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8520,1387,2.alpha.-Methyl-5.alpha.-androstan-3.alpha.-ol-17-one,Androstane steroids,1.1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8525,-1,3-Amino-3-(2-chlorophenyl)propionic acid,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8528,-1,Mesterolone,Androstane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8538,-1,Azelaic acid,Fatty acids and conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8600,5817,11.beta.-Misoprostol,Eicosanoids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8612,-1,(E)-5-(4-methoxy-5-methyl-6-oxopyran-2-yl)-3-methylhex-4-enoic acid,Fatty acids and conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8615,-1,2-Hydroxy-5-methoxybenzoic acid,Benzoic acids and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8669,447,Methyl jasmonate,Lineolic acids and derivatives,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8680,1525,(-)-.alpha.-Kainic acid,"Amino acids, peptides, and analogues",1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8685,-1,Massbank:PR310512 Sempervirine,Pyridoindoles,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8717,-1,"5-Hexenoic acid, 6-[(2R,3S)-3-[[[(4-chloro-2-methylphenyl)sulfonyl]amino]methyl]bicyclo[2.2.2]oct-2-yl]-, (5Z)-",Benzenesulfonamides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8744,2070,Proscillaridin A,Steroid lactones,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8822,-1,Formoterol,Phenethylamines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8830,42,"9-Oxo-10(E),12(E)-octadecadienoic acid",Lineolic acids and derivatives,1.1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8861,42,Stearidonic acid methyl ester,Lineolic acids and derivatives,1.1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8869,1449,"Massbank:EA008504 2,6-Dichlorobenzamide|2,6-bis(chloranyl)benzamide",Tryptamines and derivatives,0.7666666666666666,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8919,1604,MassbankEU:SM881501 Diphenylphosphate|Diphenyl hydrogen phosphate,Phosphate esters,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8923,42,Stearidonic acid methyl ester,Lineolic acids and derivatives,1.1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,8929,208,Massbank:RP025502 Hexanoyl-L-Carnitine|L-Hexanoylcarnitine|(3R)-3-hexanoyloxy-4-(trimethylazaniumyl)butanoate,Fatty acid esters,1,subclass,10,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9012,-1,Massbank:LU083602 UK-156819|5-(2-Methyl-3-(pyridin-3-yl)-1H-indol-1-yl)pentanoic acid|5-(2-methyl-3-pyridin-3-ylindol-1-yl)pentanoic acid,Indolyl carboxylic acids and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9022,8236,"""""""2,4-dihydroxybenzophenone""""""",Benzophenones,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9043,-1,"5-Heptenoic acid, 7-[(1R,2R,3S,5S)-2-[(1E,3R)-3-(2,3-dihydro-1H-inden-2-yl)-3-hydroxy-1-propen-1-yl]-3-fluoro-5-hydroxycyclopentyl]-, (5Z)-",Fatty acids and conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9073,-1,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-",Amines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9140,1663,.alpha.-Ionone,Lipids and lipid-like molecules,0.75,superclass,8,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9187,-1,9-Oxo-11-(3-pentyl-2-oxiranyl)-10E-undecenoic acid,Fatty acids and conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9228,680,"4-Pregnen-6.beta.,11.beta.,17,21-tetrol-3,20-dione",Hydroxysteroids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9254,-1,3-Methoxymethcathinone,Carbonyl compounds,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9270,-1,Fluoxymesterone,Androstane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9290,3753,4-Methylacridin-9-ol,Benzoquinolines,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9336,298,tauroursodeoxycholic acid,"Bile acids, alcohols and derivatives",1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9357,-1,"NCGC00168939-02!8-hydroxy-3-(4-oxopentyl)-3,4-dihydroisochromen-1-one [IIN-based on: CCMSLIB00000847794]",2-benzopyrans,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9368,298,Spectral Match to Tauroursodeoxycholic acid from NIST14,"Bile acids, alcohols and derivatives",1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9454,3124,"Massbank:LU106302 6-Phenyl-1,3,5-triazine-2,4-diamine",Aminotriazines,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9463,1573,Empenthrin,Lipids and lipid-like molecules,0.6666666666666666,superclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9469,1584,"Massbank:AC000104 5-hydroxyculmorin|(1S,3R,3aS,4R,6R,8aR,9R)-Decahydro-1,5,5,8a-tetramethyl-1,4-methanoazulene-3,6,9-triol",Lipids and lipid-like molecules,1,superclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9494,1536,3-Hydroxyhexadecanoylcarnitine,Fatty acid esters,1,subclass,6,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9499,-1,Dehydrocholic acid,"Bile acids, alcohols and derivatives",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9507,-1,Prallethrin,Fatty acid esters,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9514,2601,Normeperidine,Phenylpiperidines,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9586,-1,Ciclopirox .beta.-D-glucuronide,Carbohydrates and carbohydrate conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9603,76,"7.alpha.,17.alpha.-Dimethyl-5.beta.-androstane-3.alpha.,17.beta.-diol",Androstane steroids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9626,76,"7.alpha.,17.alpha.-Dimethyl-5.beta.-androstane-3.alpha.,17.beta.-diol",Androstane steroids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9650,989,Kirenol,Diterpenoids,1.1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9651,-1,Cocaine,Benzoic acids and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9667,-1,(1S)-(+)-Camphorquinone,Monoterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9749,1504,Steviol,Diterpenoids,1.1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9753,599,Arachidonoylglycine,Lipids and lipid-like molecules,0.5555555555555556,superclass,9,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9776,592,"1,2-Benzenedicarboxylic acid",Benzoic acids and derivatives,1,subclass,6,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9849,-1,(R)-(+)-Citronellic acid,Monoterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9876,-1,rac-trans-3-Hydroxy-1-methyl-2-pyrrolidinone-5-(3-pyridinyl)carboxylic acid,Pyrrolidinylpyridines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9943,-1,1.alpha.-Methyl-5.alpha.-androstan-3.alpha.-ol-17-one,Androstane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,9989,-1,"N,N-Dimethylsphingosine",Amines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10017,-1,"3.beta.,5.beta.-Tetrahydrocortisone",Hydroxysteroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10043,113,Nodakenin,Phenylpropanoids and polyketides,0.6666666666666666,superclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10062,-1,.alpha.-L-Asp-L-Lys,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10066,-1,Orcinol .beta.-D-glucoside,Carbohydrates and carbohydrate conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10098,-1,"NCGC00380210-01_C18H30O8_Cyclopentaneacetic acid, 3-(hexopyranosyloxy)-2-[(2Z)-2-penten-1-yl]-",Fatty acyl glycosides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10121,-1,Prostaglandin G2,Eicosanoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10165,-1,Spectral Match to .alpha.-L-Asp-L-Phe from NIST14,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10225,5514,"Retinamide, N-(4-hydroxyphenyl)-",Retinoids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10234,113,Nodakenin,Phenylpropanoids and polyketides,0.6666666666666666,superclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10323,1623,"L-Glutamic acid, dimethyl ester","Amino acids, peptides, and analogues",1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10325,1485,Estriol,Estrane steroids,1.1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10363,-1,"10,11-Dihydro-10-hydroxycarbamazepine",Dibenzazepines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10417,74,Trifloxystrobin,Organoheterocyclic compounds,0.7142857142857143,superclass,7,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10470,6099,9-Oxo-11-(3-pentyl-2-oxiranyl)-10E-undecenoic acid,Fatty Acyls,1,class,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10520,-1,Massbank:RP020201 C6-homoserine lactone|N-Hexanoyl-DL-homoserine lactone|N-(2-oxooxolan-3-yl)hexanamide,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10538,5085,"NCGC00386076-01_C19H33N3O5_2,8-Diisobutyl-5-methyl-1-oxa-4,7,10-triazacyclotetradecane-3,6,9,14-tetrone","Amino acids, peptides, and analogues",1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10587,-1,Tetradecanedioic acid,Fatty acids and conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10597,6034,7-Hydroxycoumarinyl .gamma.-linolenate,Lineolic acids and derivatives,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10601,442,all-trans-4-Hydroxyretinoic acid,Prenol lipids,1.1,class,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10713,-1,Massbank:EA006703 Metolachlor morpholinone|4-(2-ethyl-6-methylphenyl)-5-methylmorpholin-3-one,Morpholines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10833,-1,"4-Pregnen-6.beta.,11.beta.,17,21-tetrol-3,20-dione",Hydroxysteroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10904,113,[Glu1] TRH,Phenylpropanoids and polyketides,0.6666666666666666,superclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,10961,-1,Kirenol,Diterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11062,638,trans-Traumatic acid,Lipids and lipid-like molecules,0.9,superclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11088,-1,"NCGC00384643-01_C20H32O2_(2E)-3-Methyl-5-[(1S,8aS)-5,5,8a-trimethyl-2-methylenedecahydro-1-naphthalenyl]-2-pentenoic acid",Diterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11095,-1,Defluoroparoxetine,Phenylpiperidines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11118,2158,"5-Heptenoic acid, 7-[(1R,4S,5S,6R)-6-[(1E,3S)-3-hydroxy-1-octenyl]-2-oxabicyclo[2.2.1]hept-5-yl]-, (5E)-",Eicosanoids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11151,2143,2-Methyl-N-(4-Methylphenyl)alanine,Organic acids and derivatives,0.7,superclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11155,1536,3-Hydroxyhexadecanoylcarnitine,Fatty acid esters,1,subclass,6,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11160,-1,"15(R),19(R)-Hydroxyprostaglandin F2.alpha.",Eicosanoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11162,1028,L-Propionylcarnitine,Fatty acid esters,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11164,1409,Adipoyl-L-carnitine,Fatty acid esters,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11170,880,Isosteviol,Diterpenoids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11181,634,COLFORSIN,Triterpenoids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11199,1449,Serotonin,Tryptamines and derivatives,0.7666666666666666,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11210,3391,11.beta.-Misoprostol,Eicosanoids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11235,-1,21-Hydroxypregnenolone,Hydroxysteroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11236,-1,"2,4,6-Tri-tert-butylaniline",Phenylpropanes,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11247,1536,3-Hydroxyhexadecanoylcarnitine,Fatty acid esters,1,subclass,6,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11252,-1,1-Methyl-3-nicotinoylpyrrolidine,Carbonyl compounds,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11275,42,Stearidonic acid methyl ester,Lineolic acids and derivatives,1.1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11335,-1,"N,N-Dimethylsphingosine",Amines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11374,-1,"1,3,5(10),7-Estratetraen-3,17.beta.-diol 3-sulfate",Sulfated steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11390,5180,5-Amino-1-naphthol,Naphthols and derivatives,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11432,1201,Heneicosapentaenoic acid methyl ester,Lipids and lipid-like molecules,1,superclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11451,-1,Massbank:EA006703 Metolachlor morpholinone|4-(2-ethyl-6-methylphenyl)-5-methylmorpholin-3-one,Morpholines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11494,-1,Met-Phe,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11531,-1,PERHEXILINE,Dicarboxylic acids and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11532,-1,Chlormadinone acetate,Pregnane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11538,-1,S-Hydroprene,Sesquiterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11543,-1,Arg-Ala,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11544,1536,3-Hydroxyhexadecanoylcarnitine,Fatty acid esters,1,subclass,6,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11612,-1,_130133,Monoterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11614,-1,3-AMINO-4-HYDROXYBENZOATE,Benzoic acids and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11626,-1,"Spectral Match to 1H-Purin-6-amine, N,N-dimethyl- from NIST14",Purines and purine derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11633,894,"ReSpect:PT110540 3,5-Dibromo-L-tyrosine hydrate|Tyr(3,5-diBr)|Dibromotirina|Bromotiren|Biotiren|beta-(3,5-dibromo-4-hydroxyphenyl)alanine|(2S)-2-amino-3-(3,5-dibromo-4-hydroxyphenyl)propanoic acid","Amino acids, peptides, and analogues",1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11647,122,Prostaglandin E2 ethanolamide,Eicosanoids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11654,1381,"{2,11,16-trihydroxy-5,5-dimethyl-14-methylidene-15-oxotetracyclo[11.2.1.0¹,¹???.0???,???]hexadecan-9-yl}methyl acetate",Diterpenoids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11680,5061,N-Heptanoyl-DL-homoserine lactone,"Amino acids, peptides, and analogues",1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11716,894,"""""""3,5-DIIODO-L-TYROSINE""""""","Amino acids, peptides, and analogues",1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11731,-1,Prostaglandin A2 methyl ester,Eicosanoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11733,128,S-Hydroprene,Fatty acids and conjugates,0.75,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11755,-1,Gly-Phe-Arg,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11797,239,(S)-Dibutyl 3-hydroxybutyl phosphate,Phosphate esters,1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11827,331,.alpha.-Ionone,Lipids and lipid-like molecules,1,superclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11878,-1,Steviol,Diterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11879,1092,"Octanoic acid, 4-[(1-oxo-7-phenylheptyl)amino]-, (4R)-","Amino acids, peptides, and analogues",1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11911,-1,"4-Imidazolidineheptanoic acid, 3-[(2-cyclohexyl-2-hydroxyethyl)amino]-2,5-dioxo-1-(phenylmethyl)-",Imidazolidines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11922,-1,Isoalantolactone,Terpene lactones,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11929,-1,Dodecanedioic acid,Fatty acids and conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,11931,128,cis-7-Hexadecenoic acid,Fatty acids and conjugates,0.75,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
